probeset_id	gene_symbol
33323_r_at SFN
49452_at ACACB
201553_s_at LAMP1
221832_s_at LUZP1
210026_s_at CARD10
217807_s_at GLTSCR2
40225_at GAK
201569_s_at SAMM50
211709_s_at CLEC11A
203996_s_at C21orf2
208212_s_at ALK
36553_at ASMTL
37462_i_at SF3A2
214749_s_at ARMCX6
210683_at NRTN
213485_s_at ABCC10
201227_s_at NDUFB8
201358_s_at COPB1
201558_at RAE1
212964_at HIC2
214221_at ALMS1
214095_at SHMT2
207165_at HMMR
217824_at UBE2J1
32062_at LRRC14
205250_s_at CEP290
210302_s_at MAB21L2
213326_at VAMP1
221605_s_at PIPOX
216313_at PCDHB17
34764_at LARS2
204446_s_at ALOX5
217663_at ZNF234
212761_at TCF7L2
222171_s_at PKNOX2
209335_at DCN
204000_at GNB5
209695_at PTP4A3
214630_at CYP11B2
221219_s_at KLHDC4
208904_s_at RPS28
44065_at C12orf52
202573_at CSNK1G2
209492_x_at ATP5I
214604_at HOXD11
215235_at SPTAN1
201582_at SEC23B
212048_s_at YARS
213993_at SPON1
206190_at GPR17
200027_at NARS
215903_s_at MAST2
206072_at UCN
209667_at CES2
212426_s_at YWHAQ
219517_at ELL3
208691_at TFRC
206864_s_at HRK
206580_s_at EFEMP2
206790_s_at NDUFB1
214662_at WDR43
215280_s_at PPFIA3
210929_s_at AHSG
204036_at LPAR1
214306_at OPA1
209459_s_at ABAT
213853_at DNAJC24
220973_s_at SHARPIN
211678_s_at RNF114
221441_at GSC2
207720_at LOR
204141_at TUBB2A
213836_s_at WIPI1
214039_s_at LAPTM4B
202630_at APPBP2
209596_at MXRA5
206600_s_at SLC16A5
218701_at LACTB2
200941_at HSBP1
206055_s_at SNRPA1
214044_at RYR2
210313_at LILRA4
205802_at TRPC1
213260_at FOXC1
214746_s_at ZNF467
201415_at GSS
209153_s_at TCF3
221012_s_at TRIM8
213240_s_at KRT4
219476_at C1orf116
213526_s_at LIN37
210111_s_at KLHDC10
204539_s_at CELSR1
222068_s_at DNAAF1
201849_at BNIP3
212959_s_at GNPTAB
213475_s_at ITGAL
221374_at FGF16
214255_at ATP10A
207482_at TP53TG5
219347_at NUDT15
200629_at WARS
212500_at ADO
74694_s_at RABEP2
212360_at AMPD2
202912_at ADM
220748_s_at ZNF580
213796_at SPRR1A
222294_s_at RAB27A
214288_s_at PSMB1
218233_s_at TOMM6
218702_at SARS2
205111_s_at PLCE1
220146_at TLR7
206426_at MLANA
202512_s_at ATG5
207687_at INHBC
212496_s_at KDM4B
219489_s_at NXN
202117_at ARHGAP1
213571_s_at EIF4E2
209609_s_at MRPL9
211987_at TOP2B
202965_s_at CAPN6
204587_at SLC25A14
208030_s_at ADD1
217918_at DYNLRB1
201588_at TXNL1
212556_at SCRIB
219493_at SHCBP1
219540_at ZNF267
221836_s_at TRAPPC9
204349_at MED7
213083_at SLC35D2
212457_at TFE3
214106_s_at GMDS
217522_at KCNV2
201492_s_at RPL41
204908_s_at BCL3
214324_at GP2
221714_s_at RRN3P1
206311_s_at PLA2G1B
210825_s_at PEBP1
220491_at HAMP
40273_at SPHK2
212419_at ZCCHC24
214144_at POLR2D
214274_s_at ACAA1
38157_at DOM3Z
207574_s_at GADD45B
208056_s_at CBFA2T3
213527_s_at ZNF688
220611_at DAB1
221365_at MLNR
203224_at RFK
204920_at CPS1
203804_s_at LUC7L3
213080_x_at RPL5
221842_s_at ZNF131
202797_at SACM1L
220331_at CYP46A1
202451_at GTF2H1
209430_at BTAF1
218097_s_at CUEDC2
219983_at HRASLS
220734_s_at GLTPD1
32625_at NPR1
214016_s_at LOC100996496
215331_at MYH15
218571_s_at CHMP4A
219491_at LRFN4
220354_at MCF2L-AS1
207509_s_at LAIR2
