probeset_id	gene_symbol
1552915_at IL28A
1552348_at PRSS33
33323_r_at SFN
1554715_at LINC00593
1553906_s_at FGD2
1552972_at LOC100507431
230418_s_at GALNTL1
1553993_s_at MED25
1552946_at ZNF114
1553878_at GOT1L1
49452_at ACACB
1553858_at ZBTB3
1559108_at LOC100996816
201553_s_at LAMP1
221832_s_at LUZP1
210026_s_at CARD10
217807_s_at GLTSCR2
230696_at LOC100289092
40225_at GAK
1552302_at TMEM106A
1558292_s_at PIGW
242274_x_at SLC25A42
201569_s_at SAMM50
211709_s_at CLEC11A
237861_at LOC100506105
1557094_at LOC100996760
234464_s_at EME1
1563039_at LOC100506195
1553099_at TIGD1
203996_s_at C21orf2
208212_s_at ALK
36553_at ASMTL
37462_i_at SF3A2
1567657_at OR2H1
214749_s_at ARMCX6
236480_at MIR210HG
210683_at NRTN
1553215_s_at CCDC7
235428_at LOC100507316
213485_s_at ABCC10
1566363_at DNTT
201227_s_at NDUFB8
1553207_at ARL10
201358_s_at COPB1
225649_s_at STK35
230972_at ANKRD9
1560060_s_at VPS37C
244434_at GPR82
201558_at RAE1
212964_at HIC2
214221_at ALMS1
1553351_at OTUD7A
230903_s_at C8orf42
214095_at SHMT2
1554340_a_at DRAXIN
1569144_a_at C9orf169
207165_at HMMR
244643_at LOC100506652
217824_at UBE2J1
230252_at LPAR5
32062_at LRRC14
232164_s_at EPPK1
205250_s_at CEP290
236849_at VTI1A
210302_s_at MAB21L2
243406_at TMCO5B
1566403_at SNORA68
213326_at VAMP1
221605_s_at PIPOX
1556096_s_at UNC13C
216313_at PCDHB17
34764_at LARS2
1554057_at ASH1L-AS1
204446_s_at ALOX5
1552767_a_at HS6ST2
217663_at ZNF234
231712_at ASCL5
1560035_at CXXC11
1568696_at CDNF
212761_at TCF7L2
222171_s_at PKNOX2
239647_at CHST13
239727_at DIO3OS
1558421_a_at C14orf180
1557820_at AFG3L2
1559263_s_at ZC3H12D
227003_at RAB28
228806_at RORC
229232_at LRRC57
209335_at DCN
238005_s_at SIN3A
1555923_a_at C10orf114
204000_at GNB5
209695_at PTP4A3
214630_at CYP11B2
221219_s_at KLHDC4
240749_at LOC100505862
243208_x_at ACTL9
208904_s_at RPS28
225726_s_at PLEKHH1
44065_at C12orf52
202573_at CSNK1G2
226419_s_at FLJ44342
1557170_at NEK8
236666_s_at LRRC10B
1568377_x_at DEFB124
1553253_at ASB16
209492_x_at ATP5I
230498_at MCHR1
1556793_a_at FAM83C
234662_at RAD21L1
1559607_s_at GBP6
214604_at HOXD11
240830_at SCARNA17
1560734_at OR4N4
215235_at SPTAN1
201582_at SEC23B
212048_s_at YARS
231969_at STOX2
235217_at LOC100216546
243785_at LOC100272217
244660_at ELAVL1
1562249_at EPHA1-AS1
213993_at SPON1
225563_at PAN3
227527_at MLL2
242888_at PRRT3-AS1
1556308_at PRRT3
222685_at HAUS6
236248_x_at TADA2B
1561650_s_at LOC285692
226385_s_at MALSU1
239509_at FLJ16779
206190_at GPR17
200027_at NARS
226597_at REEP6
215903_s_at MAST2
225081_s_at CDCA7L
206072_at UCN
228209_at LOC100527964
236027_at SFR1
239801_at RNF40
239977_at C12orf42
243124_at RRN3P2
209667_at CES2
1553713_a_at RHEBL1
212426_s_at YWHAQ
219517_at ELL3
244704_at NFYB
1553970_s_at CEL
1555238_at PTH2
1558969_a_at RPL32P3
208691_at TFRC
225735_at ANKRD50
1552562_at ZNF570
206864_s_at HRK
206580_s_at EFEMP2
231176_at PRR19
1559266_s_at SKIDA1
1569246_a_at C8orf74
224698_at ESYT2
228069_at FAM54A
206790_s_at NDUFB1
214662_at WDR43
215280_s_at PPFIA3
229839_at SCARA5
238935_at RPS27L
244364_at MYO3A
1554401_a_at TCTE3
210929_s_at AHSG
231223_at CSMD1
232010_at FSTL5
204036_at LPAR1
214306_at OPA1
222447_at METTL9
233491_at LOC100268168
1559646_a_at LINC00184
209459_s_at ABAT
224279_s_at CABYR
239680_at WDR76
1556375_at LOC100996421
213853_at DNAJC24
220973_s_at SHARPIN
1553907_a_at EXD1
1555786_s_at LINC00520
1569453_a_at LOC692247
211678_s_at RNF114
221441_at GSC2
239792_at LOC440288
227480_at SUSD2
207720_at LOR
231761_at FFAR1
204141_at TUBB2A
231175_at BEND6
233525_s_at LINC00475
238732_at COL24A1
238739_at IPMK
228844_at SLC13A5
213836_s_at WIPI1
