probeset_id	gene_symbol
33323_r_at SFN
32166_at TLN1
38751_i_at ATP5I
34961_at CD96
34443_at FAM5C
35937_at MICB
38456_s_at SNRPB
40825_at MAPRE3
34938_i_at PP14571
32052_at HBB
33479_g_at TNP2
40225_at GAK
38126_at BGN
41421_at CAMTA2
38080_at COX8A
32589_at CHAF1A
32472_at OXT
36553_at ASMTL
37462_i_at SF3A2
36502_at CDK14
39370_at MAP1LC3B
39176_f_at CEL
32041_r_at CDC5L
1211_s_at CRADD
1051_g_at MLANA
1322_at E2F1
34227_i_at PRG4
36736_f_at PSPH
38840_s_at PFN2
36285_at KCNJ4
522_s_at FOLR3
32062_at LRRC14
32789_at NCBP2
34495_r_at SYNGR4
37992_s_at ATP5D
38324_at LSR
34764_at LARS2
36928_at ZNF146
1596_g_at TEK
1612_s_at JUND
31811_r_at PPID
1482_g_at MMP12
32757_at RAE1
35127_at HIST1H2AE
34244_r_at L3MBTL1
32827_at RRAS2
464_s_at IFI35
36941_at MLLT11
2053_at CDH2
40062_s_at MYL4
41338_at AES
1940_at KRAS
41655_at MID2
36666_at P4HB
38127_at SDC1
38470_i_at APPBP2
34526_s_at LINC00599
41366_at R3HDM2
41268_g_at TCF25
41375_at LSM2
39572_at GRIK2
40742_at HCK
36009_at GPX7
36122_at PSMA6
38263_at RYR2
1424_s_at YWHAH
39775_at SERPING1
33861_at CNOT2
39101_at MYH2
34265_at SCG5
35246_at TYRO3
36335_at BTN1A1
40182_s_at CARM1
38906_at SPTA1
34286_at BCAS2
41229_at NFIB
32643_at GBE1
35214_at UGDH
39321_at GABRA5
33413_at PTP4A1
36517_at U2AF1
32260_at PEA15
32774_at NDUFB8
38697_at YIPF3
32370_at GZMH
37078_at CD247
33908_at CAPN1
35734_at ACTR2
35787_at DYNC1I2
41816_at CARD10
39795_at AP2M1
37941_at MYBPC2
41535_at CDK2AP1
33150_at UTP3
39707_at MTMR4
35159_at TBCE
36005_at CLASRP
41323_at LOC100507424
38003_s_at DGKZ
41379_at SMC5
36648_at MED7
38699_at TUBB4A
34034_at STARD8
35267_g_at BLCAP
32172_at SPEN
36474_at UFL1
39163_at KIDINS220
37624_at CA3
32112_s_at AIM1
39921_at COX5B
32233_at TOR1B
1637_at MAPKAPK3
31821_at PPRC1
741_g_at HTR3A
36676_at RPN2
487_g_at CASP9
31962_at RPL37A
33457_at FAM208A
34177_at B4GALT2
35038_at MYBPC3
35482_at AKR1C4
34680_s_at PSMD6
33223_at MAST3
36732_at ABCC10
34520_at HCN2
40273_at SPHK2
38454_g_at ICAM2
40427_at COX17
36638_at CTGF
40657_r_at ADIPOQ
196_s_at CASP5
34848_at FDFT1
40400_at ADORA1
38157_at DOM3Z
41668_r_at TGDS
32298_at ADAM2
31863_at RRP1B
1403_s_at CCL5
33359_at LPHN3
37670_at ANXA7
34414_at KIAA0368
40681_at ITGBL1
32724_at PHYH
32625_at NPR1
40381_at ZNF510
36608_at MDH1
33833_at SPTAN1
40575_at DLG5
35693_at HPCAL1
40205_g_at CTRL
35756_at GIPC1
35720_at WDR47
40772_at MFSD7
674_g_at MTHFD1
32099_at SAFB2
35629_at MKL1
416_s_at HOXC5
34817_s_at ATXN2L
37237_at AP3M2
36572_r_at ARL6IP1
36991_at SRSF4
31392_r_at ERC2-IT1
41709_at PPFIBP2
32110_at WSCD1
32767_at STIL
719_g_at HTRA1
39510_r_at PDCD4
36404_at GLP1R
32857_at SOS2
40801_at GAPVD1
38167_at PPFIA4
1523_g_at TNK1
32684_at C9orf91
33710_at LPCAT3
39355_at ABCE1
36701_at FUT9
38708_at RAN
39782_at C1D
37407_s_at MYH11
36750_at RIMBP2
38342_at PHF15
41246_at SERPINE2
36473_at USP20
35282_r_at CD81
32530_at YWHAQ
36643_at DDR1
36457_at GMPS
39590_at APBA2
32368_at PCDH8
36711_at MAFF
32466_at RPL41
41866_s_at DTNB
40041_at NDC80
32183_at SRSF11
41036_at KCTD17
41278_at ACTL6A
35239_at EMD
31652_at MYH15
32227_at SRGN
37880_at AGXT
33771_at LRRC8B
39701_at PEG3
35145_at MNT
32853_at TOMM70A
40335_at CLCN4
41154_r_at CTNNA1
41435_at PPFIA3
33239_at CEP112
37732_at RYBP
41597_s_at SEC22B
41725_at CSNK1G2
33140_at B3GNT1
40568_at ATP6V1B2
34884_at CPS1
34580_at OPRD1
35464_at IL11
32089_at SPAG6
36963_at PGD
40008_at CCL11
33446_at ABAT
37900_at PEX11B
38719_at NSF
38750_at NOTCH3
41755_at COBLL1
35622_at SHC2
41043_at SOX15
39260_at SLC16A4
40409_at ALDH3A2
41385_at EPB41L3
35334_at GYG2
41529_g_at FAM168B
36570_at CALB1
36910_at MAP2K4
38623_at MTG1
34756_g_at PARP2
37998_at SKIV2L
31880_at UBXN8
34659_at NUP155
38978_at PAIP1
39758_f_at LAMP1
33235_at NAV3
35917_at MAP1A
35166_at DSCR3
36375_at ODF1
37683_at USP10
38615_at OLFM4
38979_at NDUFB6
36641_at CAPZA2
31794_at NT5C2
34705_at TRAPPC3
1792_g_at CDK2
41498_at CLSTN1
1552_i_at CYP2A13
40650_r_at CRHR1
36664_at GALT
31879_at FUBP3
38565_at GAL3ST1
34559_at KRTAP26-1
35715_at ANAPC15
34033_s_at LILRA2
32133_at PIP5K1C
38148_at CRY1
32806_at TSPO
1757_i_at CYP3A7
39728_at IFI30
32142_at STK3
41401_at CSRP2
38996_at ERF
38288_at SNAI2
36088_at PSMG1
36706_at CDKL5
32081_at CIT
33767_at NEFH
38592_s_at KIAA0284
38210_at SURF2
40076_at TPD52L2
1202_g_at RAB33A
37106_at ZNF354A
38364_at TLE4
41464_at SETD1A
39642_at ELOVL2
41419_at GULP1
34477_at UTY
40530_at APBB2
41654_at ADA
