"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"1007_s_at"	0.089425225383487	-0.053199396138024	-1.0375633291875	0.554182684063834	0.0353231194229774	0.00642700379323461	1.00446479719702	0.856373435014008
"117_at"	0.149333956412049	-0.170041653962981	-1.12509096821421	0.259444469614216	0.112192611068804	-0.213338629839731	-1.15936804720755	0.0631197008990914
"121_at"	0.05339769631319	-0.0783580049694498	-1.0558156859381	0.147566758843787	0.0320204269438053	0.00412117089989488	1.00286066189651	0.898118351602896
"1294_at"	0.0531339674261391	0.0270623080793172	1.01893520212214	0.612426144340467	0.0398125236940584	0.0466977369168238	1.03289795966504	0.246490087650052
"1316_at"	0.030134735158006	0.000815643807154073	1.00056552105204	0.97849798504071	0.021076524280624	0.00160696440676767	1.00111448342342	0.939535214504838
"1405_i_at"	0.0816880067643004	0.114601349340607	1.08267583532498	0.165882766852238	0.0428817006266281	-0.0103475110487538	-1.00719813100239	0.810326706016153
"1438_at"	0.03539935041866	-0.0861108120529064	-1.06150473900199	0.0180443648115997	0.0242398426255274	-0.0894594840611168	-1.06397148330085	0.000561685821574881
"1487_at"	0.0310874872442113	0.0143293710359985	1.00998185276546	0.64653851977158	0.0199887882527027	0.00606885030255191	1.0042154666649	0.76270843925844
"1494_f_at"	0.0581261162354647	0.0121144015997989	1.00843241753715	0.835622145834824	0.0365275024782422	-0.00360995727335096	-1.0025053649005	0.921677662494004
"1598_g_at"	0.0417392587906019	-0.014342339054394	-1.00999093127598	0.732355507474452	0.0180108201029649	0.0342068763147517	1.02399372623338	0.0634280859392149
"160020_at"	0.0510869467197867	-0.090091368539195	-1.06443759311573	0.0829954171195169	0.0274804868550558	0.00758482519472151	1.00527124457837	0.783702943584926
"1729_at"	0.0349531853923081	-0.0321980224494029	-1.02256887745512	0.36071017590077	0.0183738492450884	0.000919290687096778	1.00063740680531	0.960299837577167
"1773_at"	0.0540803763132017	-0.0827612390295341	-1.05904305226834	0.131277611782442	0.0396785902246744	-0.00903849907736337	-1.00628467637632	0.820755153461478
"179_at"	0.0664891378220284	-0.0836446883782468	-1.05969176692548	0.213340500695082	0.0362663797537221	0.0104324416840174	1.00725742592795	0.774819009509407
"1861_at"	0.0754636220099258	-0.123697904796747	-1.08952394589174	0.106499411196793	0.0380466606664097	-0.03997748108229	-1.0280977790304	0.298528667481525
"200000_s_at"	0.0744691633992792	-0.0894018655071803	-1.06392899110923	0.234734670896826	0.0340412932187356	0.0145334689535082	1.01012474490044	0.671295737656511
"200001_at"	0.0898084116904739	-0.186233275609241	-1.13778918706076	0.0424839689966824	0.0304877083340951	-0.0733496180783616	-1.05215672458956	0.0199520694171809
"200002_at"	0.0420001966688416	0.0516731578251181	1.03646626326533	0.223464851520317	0.0307223311465867	-0.0213335195712725	-1.01489714150734	0.490712199094391
"200003_s_at"	0.0628268697420865	0.105290605192443	1.07571105144657	0.0990528984765527	0.0477653411629339	0.0762877023811551	1.05430165126296	0.116665349643637
"200004_at"	0.0522943801806996	-0.102734863432848	-1.07380711064914	0.0541818048504274	0.031615117394616	-0.0623533037479609	-1.04416760388135	0.0542372595171655
"200005_at"	0.0608663104127307	0.063423337385553	1.04494234065782	0.301657854155627	0.0435416103655359	0.0807145216728673	1.05754167815418	0.0698023467478599
"200006_at"	0.0575941730278759	-0.0181726914740584	-1.01267601803127	0.753472659635973	0.0303759160905316	-0.0535260418604709	-1.03779827419257	0.0842861900988352
"200007_at"	0.0415927131722167	-0.0265791394671562	-1.01859401076675	0.525274353980575	0.0296236139296678	-0.011903921585666	-1.00828530440449	0.68954995697022
"200008_s_at"	0.115681228380242	-0.268649296282395	-1.20467943472604	0.0236853718601955	0.0333465442976013	-0.0573620827048153	-1.04056139031868	0.0917102194524762
"200009_at"	0.0998798735414526	-0.164885442006965	-1.12107705475409	0.104085542756253	0.0342932529771495	-0.0689255617826316	-1.04893520464602	0.0499658413885936
"200010_at"	0.0574874103520186	0.0127346138791452	1.00886603421155	0.825452450285389	0.0398794065521708	-0.0586462938747928	-1.04148805565773	0.147794582419476
"200011_s_at"	0.107366832251764	-0.0723600796425412	-1.05143530217416	0.502973875825697	0.0343201681520641	0.0203177511282752	1.01418282723543	0.556568340663671
"200012_x_at"	0.0341404860345311	0.0561446628006456	1.03968368174749	0.105387563832542	0.0200617033487306	0.00603417742974455	1.00419133223887	0.764854150029639
