"standard_error_adjusted_res"	"coefficient_adjusted_res"	"fold_change_up_or_down_regulated_res"	"p_adjusted_res"
"1007_s_at"	0.0299192002992683	0.00555144933191377	1.00385538439981	0.853435617565735
"117_at"	0.0955008528707783	-0.184275384331013	-1.13624613287753	0.0584734082914267
"121_at"	0.0271211477568991	0.00355974139349465	1.00247047130801	0.896021440892667
"1294_at"	0.0337846681081717	0.0403360770817778	1.0283533545765	0.237288889765412
"1316_at"	0.0178514479884109	0.00138804671186757	1.00096258365137	0.938285713387046
"1405_i_at"	0.0363226977448563	-0.00893786360590657	-1.00621448524232	0.806483432838229
"1438_at"	0.0209156704851757	-0.07727236656484	-1.0550214758952	0.000483998571610686
"1487_at"	0.0169321870506694	0.00524208729938073	1.00364014733375	0.757961250893797
"1494_f_at"	0.0309383267308745	-0.00311817069634795	-1.00216368862992	0.920061532666488
"1598_g_at"	0.0153310274355952	0.0295468536776474	1.02069147912353	0.0587666537772917
"160020_at"	0.023277769060197	0.0065515400510956	1.00455150830554	0.779349661155724
"1729_at"	0.0155622578285798	0.000794055182617176	1.00055054860732	0.959478417983655
"1773_at"	0.0336092254475734	-0.0078071790960122	-1.00542619292365	0.817114534556132
"179_at"	0.0307202752321863	0.00901122409137724	1.00626565216106	0.770298100287473
"1861_at"	0.0322740165287199	-0.0345313256045522	-1.02422403921628	0.289003159573659
"200000_s_at"	0.0288394524829693	0.0125535660329427	1.00873943672762	0.66493918806035
"200001_at"	0.0260292922379211	-0.0633571569859491	-1.04489440737076	0.0179759149584067
"200002_at"	0.0260385035960501	-0.0184272418037124	-1.01285471120582	0.48192282700982
"200003_s_at"	0.0405992844237654	0.0658949843569269	1.04673408606976	0.109908792545052
"200004_at"	0.0269216382494653	-0.0538588769464574	-1.03803772571589	0.0500461087378933
"200005_at"	0.0370544312828524	0.069718735484217	1.04951205321415	0.0648372195487903
"200006_at"	0.025838474363541	-0.0462341580751974	-1.03256611356898	0.0786908580091347
"200007_at"	0.0250961122555474	-0.0102822434309847	-1.00715256632392	0.683499126650871
"200008_s_at"	0.0283596510133056	-0.049547612846291	-1.03494034579983	0.0858206740734268
"200009_at"	0.0292082028110974	-0.0595357924500927	-1.04213038668566	0.0460076403147305
"200010_at"	0.0338782792304097	-0.05065687518236	-1.0357363988619	0.140176233467017
"200011_s_at"	0.0290825066093167	0.0175498520859418	1.01223892054151	0.548522094231099
"200012_x_at"	0.0169939118559447	0.00521213793218348	1.0036193126636	0.760146859825574
"200013_at"	0.0207615010090504	0.0024563468592138	1.00170406016314	0.906221875834876
"200014_s_at"	0.0308905349843093	-0.0237817554486293	-1.01662087173131	0.444447458497166
"200015_s_at"	0.045157822025654	0.103363814956052	1.07427534533248	0.0256789699628923
"200016_x_at"	0.0287410876896349	-0.0333899750179341	-1.02341407149243	0.250015108473876
"200017_at"	0.0233895900554405	-0.0488015756689436	-1.03440530245795	0.0412677077931018
"200018_at"	0.0220144759372349	-0.0261458380259611	-1.01828813047476	0.239724558529396
"200019_s_at"	0.0225468453098002	0.030669634427387	1.02148614381075	0.178921522492994
"200020_at"	0.0328761755818524	-0.029719625686359	-1.0208137208114	0.369678831683371
"200021_at"	0.0128030646530246	-0.017829465949445	-1.01243512518436	0.168968828609642
"200022_at"	0.0254765472246378	0.0231511177624818	1.01617657871588	0.367193636626376
"200023_s_at"	0.0366188855465809	0.109693463584373	1.07899895200381	0.00400089978252955
"200024_at"	0.0315588287789857	-0.0162144208547526	-1.01130237471105	0.609321937977919
"200025_s_at"	0.0207113915223955	0.0226325698617783	1.01581139998461	0.278941319749348
"200026_at"	0.0160002986381131	0.00598743648005613	1.00415879861612	0.70959125823105
"200027_at"	0.0202098630247939	0.0103731764547081	1.0072160491196	0.609677101314356
"200028_s_at"	0.0300134259564336	0.029039614673835	1.02033267597415	0.337216675818045
"200029_at"	0.0257024114598388	-0.0333701733118874	-1.02340002472235	0.199226695749929
"200030_s_at"	0.0240113388971176	-0.0477690728619695	-1.03366526782929	0.0512949652212725
"200031_s_at"	0.0157068703734457	-8.45608948364333e-06	-1.00000586133176	0.999572260056348
"200032_s_at"	0.0227005001006435	-0.00773252507672906	-1.00537416726175	0.734590308598294
"200033_at"	0.0545428001636497	-0.0892951400661517	-1.06385028834272	0.10692104442137
"200034_s_at"	0.0283733113680501	-0.0223621973502095	-1.01562104669597	0.433768913053633
"200035_at"	0.0268292930957188	-0.0480543448143486	-1.03386968030477	0.0784045604719862
"200036_s_at"	0.0369748609639397	0.013583228656314	1.00945963885195	0.71466208538902
"200037_s_at"	0.0260228889820265	0.02792217783923	1.01954268512788	0.287646829311805
"200038_s_at"	0.0234802759868757	0.0517818300693349	1.03654433891817	0.0313399794626932
"200039_s_at"	0.0303259069863635	-0.0619981450588883	-1.04391058521574	0.0453850752928195
"200040_at"	0.0267209465795289	0.0105451339669197	1.00733610823361	0.694532158254337
"200041_s_at"	0.048925333944857	-0.134354486935078	-1.09760159791484	0.00798244353029628
"200042_at"	0.0305898551929269	-0.00283118415478056	-1.00196435413522	0.926572208070422
"200043_at"	0.0199070281852683	0.0465048223726948	1.03275985167163	0.0229034946812909
"200044_at"	0.0223303540289469	-0.0153505716710425	-1.01069701376521	0.494504877461255
"200045_at"	0.0327250940802212	-0.0746762907132545	-1.05312471123735	0.0261166397367904
"200046_at"	0.0314600419354094	0.00888128955987661	1.00617502817977	0.778698537203843
"200047_s_at"	0.0391110993988236	-0.0185260238196242	-1.01292406422412	0.637478459453578
"200048_s_at"	0.0257432031836946	-0.0157515980795	-1.01097799659259	0.542971888648286
"200049_at"	0.0290260246126639	-0.0194802020557636	-1.01359421956403	0.504757559031949
"200050_at"	0.0295272238246658	0.00987170235515949	1.00686600633635	0.739319535986325
"200051_at"	0.0332610237983303	-0.0407983345106043	-1.02868290457046	0.224841557703661
"200052_s_at"	0.0311478409558726	0.0376280581183571	1.02642488852633	0.231849177115998
"200053_at"	0.0261969195311562	-0.0740618588943581	-1.05267628967805	0.00640359712338083
"200054_at"	0.0297495663249973	-0.039180634650603	-1.02753008466673	0.192925947486953
"200055_at"	0.035073076540674	-0.0613134354539218	-1.04341525807235	0.0856378441791761
"200056_s_at"	0.0650012220056457	-0.0371481028841208	-1.02608347468099	0.569832597300844
"200057_s_at"	0.0231172211319114	-0.00639514326324001	-1.00444261480468	0.7830235497461
"200058_s_at"	0.0267751639888462	0.0824179406582156	1.05879107628485	0.00315823795085566
"200059_s_at"	0.0285404610285756	-0.024820447190951	-1.01735306799739	0.388011546953354
"200060_s_at"	0.02376145136751	0.0519889147791711	1.03669313536089	0.032646101079533
"200061_s_at"	0.0287451827158162	-0.00590171571615414	-1.00409913617903	0.838035509058795
"200062_s_at"	0.022041715553809	-0.0148525172312274	-1.01034815607825	0.503046579463799
"200063_s_at"	0.0184749385313292	0.0279108066268133	1.01953464920176	0.136192670837651
"200064_at"	0.0340750137908364	-0.0873584690353845	-1.06242313589223	0.0129238896494085
"200065_s_at"	0.021185764604414	-0.0286981257897701	-1.02009118971201	0.180711534795595
"200066_at"	0.0327617057707732	0.00679371100432067	1.00472014658911	0.83643699027908
"200067_x_at"	0.0324737858674076	-0.0864692171820199	-1.06176847873432	0.00997409297281255
"200068_s_at"	0.0323994668271262	0.0216137370730776	1.01509428612509	0.507307962624594
"200069_at"	0.0283349557592614	0.0357563115157851	1.02509407258876	0.211945235243024
"200070_at"	0.029832997409687	0.0321051335580965	1.02250304078913	0.286235838992397
"200071_at"	0.0376543617385914	-0.0417504333306705	-1.02936200237037	0.272024068224816
"200072_s_at"	0.0362572799299131	-0.0626274405401608	-1.04436603247975	0.0893447222936852
"200073_s_at"	0.0388908974780405	0.0462355343124563	1.03256709857038	0.239260802863625
"200074_s_at"	0.0375507492950515	-0.0370247067467156	-1.02599571578585	0.328163782544694
"200075_s_at"	0.0392285650621969	0.018203848490874	1.01269788842213	0.644322650127891
"200076_s_at"	0.0211003025110537	-0.0192244084680817	-1.01341452260024	0.365952132265291
"200077_s_at"	0.0158976612747609	-0.0339191177464227	-1.02378950179533	0.0370444872491922
"200078_s_at"	0.0247146387679318	-0.0216660472562227	-1.01513109274686	0.384233184369974
"200079_s_at"	0.0273227884046221	-0.0624196505726136	-1.04421562428479	0.025953762648956
"200080_s_at"	0.0227682767683318	0.00454506742081693	1.00315536839579	0.842462004012762
"200081_s_at"	0.0363117709787118	-0.0268682143992691	-1.01879812839925	0.462275926479861
"200082_s_at"	0.0469970249645057	-0.0238663449046238	-1.01668048095238	0.613468182143242
"200083_at"	0.0367854939082821	-0.0110417725409599	-1.00768293696284	0.765105247322809
"200084_at"	0.0237609892756131	-0.0329073464934995	-1.02307176338103	0.171288095275599
"200085_s_at"	0.0278926779026617	0.0244554038124403	1.01709568094755	0.384168780334872
"200086_s_at"	0.0168855081892886	-0.0113214957585211	-1.00787833490434	0.505164236977941
"200087_s_at"	0.0306009841569294	0.0163812073074395	1.01141929566878	0.594443218733608
"200088_x_at"	0.0279920893854625	0.0759810965846031	1.05407761178038	0.00869303679374663
"200089_s_at"	0.0292454297712244	0.105678191885229	1.07600008501727	0.000625777496055181
"200090_at"	0.0405793004108401	0.0215448788906317	1.01504583799327	0.597458441475483
"200091_s_at"	0.0449141010664807	-0.0921849321767406	-1.06598337062007	0.0445681463751145
"200092_s_at"	0.0320634897113872	-0.0217094973355931	-1.01516166621492	0.501002436806467
"200093_s_at"	0.0319133672760507	0.00192004592018773	1.00133176042249	0.952228098574111
"200094_s_at"	0.0194568658143079	0.0534042840956153	1.03771069181191	0.00801177124729233
"200095_x_at"	0.0230687131845186	-0.00733530912241781	-1.00509739658147	0.751625498819316
"200096_s_at"	0.0482634341838838	0.0614341460378695	1.04350256448907	0.208049342287097
"200097_s_at"	0.0272800070130897	-0.0332556845713904	-1.0233188134285	0.227676859925811
"200098_s_at"	0.0275319056888025	0.0103884979961887	1.00722674589473	0.707285408492013
"200099_s_at"	0.0350208863979909	-0.0478022900794352	-1.0336890676472	0.177446754450793
"200593_s_at"	0.0353204840191511	-0.104971244133206	-1.07547295386521	0.00427734550411566
"200594_x_at"	0.0329519186302993	-0.108090092640517	-1.07780044884234	0.00174359898481151
"200595_s_at"	0.0315181319647959	0.0274446954345031	1.01920530742239	0.387415047133888
"200596_s_at"	0.0350369047771779	-0.0663816595852886	-1.04708724835893	0.0630466223898314
"200597_at"	0.0290122798589616	0.0665298438880549	1.04719480391178	0.025419229748644
"200598_s_at"	0.059216422230235	-0.158834715537284	-1.11638505437283	0.00947042029763199
"200599_s_at"	0.0389600193452611	0.0182894607792472	1.01275798563859	0.640484199779183
"200600_at"	0.0418284995140733	0.0129396661334563	1.00900943593598	0.758144821160694
"200601_at"	0.0352692963937578	-0.0224957580327556	-1.01571507441179	0.526053204087226
"200602_at"	0.029486976544394	-0.0462502721633871	-1.03257764681327	0.122113021563433
"200603_at"	0.0302885448522914	0.00433818820825367	1.00301152849358	0.886597637676726
"200604_s_at"	0.0570520116608209	-0.129827610339898	-1.09416295037882	0.0265168112475117
"200605_s_at"	0.0374394156818734	-0.113793540617811	-1.08206978196754	0.00353039166496461
"200607_s_at"	0.0468859319368511	-0.139431336572162	-1.10147086633422	0.00425470906576562
"200608_s_at"	0.0297882500478829	0.0169973448391436	1.01185133879655	0.570433857456026
"200609_s_at"	0.0223035988291903	0.0356612570938318	1.02502653474338	0.115184606740864
"200610_s_at"	0.066729728611533	-0.0193319662418959	-1.01349007888219	0.773057272399756
"200611_s_at"	0.0274968659008257	0.0340568116521049	1.02388721912196	0.220409843092105
"200612_s_at"	0.0646382121185962	-0.0520492448444952	-1.03673648830142	0.423914776914005
"200613_at"	0.0250052482978327	-0.0570471667468598	-1.04033427813223	0.0261493110073487
"200614_at"	0.0240759504170573	-0.0415993491937888	-1.02925420957825	0.0892486065692696
"200615_s_at"	0.0391518951703157	-0.0678149810015677	-1.04812804929943	0.088481307447402
"200616_s_at"	0.040273129585133	-0.0139486216006765	-1.00971533817343	0.730311422435819
"200617_at"	0.0237094023209414	-0.0127018938488875	-1.00884315359444	0.594157451828581
"200618_at"	0.0305002607357419	-0.0440692319665165	-1.03101779403018	0.153781824090431
"200619_at"	0.0287638812868958	-0.0376671299073669	-1.0264526870552	0.195431972470221
"200620_at"	0.0299556464220038	-0.00682276919179574	-1.00474038346494	0.820618448471304
"200621_at"	0.0376260851817923	0.0548534931186048	1.0387536116481	0.15018232855073
"200622_x_at"	0.047325475537027	-0.122251415144105	-1.08843210370179	0.0122871068651116
"200623_s_at"	0.0534450347126458	-0.0701659244395306	-1.04983741854189	0.194313401954726
"200624_s_at"	0.0295364664630273	-0.0330521511690698	-1.02317445522205	0.267663192688294
"200625_s_at"	0.0278585861190439	-0.025831459137287	-1.01806625862759	0.357582177716259
"200626_s_at"	0.0303815364963722	-0.0262144213683965	-1.01833653936339	0.391719004911746
"200627_at"	0.0420685561266045	-0.100888667975923	-1.07243385446324	0.0196575060342555
"200628_s_at"	0.0535815726582541	-0.143641025582596	-1.10468957941319	0.00950782985706355
"200629_at"	0.0572293934896525	-0.0674144858824869	-1.04783712717322	0.243538317357817
"200630_x_at"	0.066344447239894	-0.0817467100029544	-1.05829857599593	0.222778751051765
"200631_s_at"	0.0372050679410529	-0.0989474506056546	-1.07099181217771	0.0100595194892114
"200632_s_at"	0.0406119290799159	0.024072239559319	1.0168255871658	0.555621577605492
"200633_at"	0.0129185183198043	-0.0290373910718278	-1.02033110335349	0.0283448508275841
"200634_at"	0.0504850747065184	-0.0637752490946557	-1.04519726098921	0.21146877932769
"200635_s_at"	0.0316028276735456	-0.00135687689550603	-1.00094095781778	0.965898086598076
"200636_s_at"	0.0363851441235851	-0.0418510209766675	-1.02943377409439	0.254692961292369
"200637_s_at"	0.0310042033282246	-0.00291177334395207	-1.00202032559691	0.925494542824064
"200638_s_at"	0.0570508009064101	-0.0496300459451107	-1.03499948219023	0.387865716067079
"200639_s_at"	0.0274023032879689	0.00782319281163214	1.00543735307741	0.776265611485411
"200640_at"	0.0376890102407641	-0.0306685939395161	-1.02148540710374	0.419072909101785
"200641_s_at"	0.05514619054634	-0.177543711723791	-1.13095671301753	0.00208907888281859
"200642_at"	0.0297190619245841	-0.0129350690854919	-1.00900622080232	0.664972780157209
"200643_at"	0.0310046031549286	-0.027387960090809	-1.01916522700014	0.380631737831814
"200644_at"	0.0436790829253181	0.0182780865599225	1.01275000107795	0.677127874857401
"200645_at"	0.0262452483423021	-0.0283186452348794	-1.01982290441749	0.284978838600068
"200646_s_at"	0.0369611429090976	-0.0621530821678199	-1.04402270119922	0.0979370491162168
"200647_x_at"	0.0741392086279649	-0.0689834881588674	-1.048977321818	0.355925153951386
