"standard_error_unadjusted"	"coefficient_unadjusted"	"fold_change_up_or_down_regulated_unadjusted"	"p_unadjusted"	"standard_error_adjusted"	"coefficient_adjusted"	"fold_change_up_or_down_regulated_adjusted"	"p_adjusted"
"1438_at"	0.03539935041866	-0.0861108120529064	-1.06150473900199	0.0180443648115997	0.0242398426255274	-0.0894594840611168	-1.06397148330085	0.000561685821574881
"200001_at"	0.0898084116904739	-0.186233275609241	-1.13778918706076	0.0424839689966824	0.0304877083340951	-0.0733496180783616	-1.05215672458956	0.0199520694171809
"200009_at"	0.0998798735414526	-0.164885442006965	-1.12107705475409	0.104085542756253	0.0342932529771495	-0.0689255617826316	-1.04893520464602	0.0499658413885936
"200015_s_at"	0.100962992062064	0.203129278638726	1.1511926440703	0.0488020603385698	0.0529418736419754	0.119665981095558	1.08648328616331	0.0282789711649797
"200017_at"	0.0366767231444659	-0.0260915958764441	-1.01824984580813	0.479643476234742	0.0274542678697831	-0.0564983832486855	-1.039938622989	0.0449387895190304
"200023_s_at"	0.0742882438316963	0.186890902199767	1.13830794602541	0.0146196743015872	0.0427131869617683	0.126993918956793	1.09201594282547	0.00456138182004552
"200038_s_at"	0.0533347495381361	0.069523290316287	1.04936988306722	0.197458569823334	0.0275416928726146	0.0599486725679102	1.04242867321192	0.0343544194505924
"200039_s_at"	0.0694802372753069	-0.0643136184035236	-1.0455873691657	0.358404402315978	0.0356043528654224	-0.0717762677173922	-1.05100990646223	0.0493064364266374
"200041_s_at"	0.0779018333903503	-0.273806733596175	-1.20899370569382	0.000852475931065789	0.0571795499907621	-0.155544389499481	-1.1138418382993	0.00900119237603261
"200043_at"	0.0533428346667181	0.159521806421029	1.11691686508716	0.0040585823262699	0.0233315890600767	0.0538393943496504	1.03802370783036	0.0252875311213328
"200045_at"	0.0650241324752527	-0.102652454206467	-1.07374577468872	0.1197559155046	0.0383677303229466	-0.0864539645385395	-1.06175725343029	0.0287498833766249
"200053_at"	0.0565172794619055	-0.166400401130443	-1.12225490447632	0.00462510452990719	0.0305977530793898	-0.0857426267608479	-1.06123387055491	0.00724807579235768
"200058_s_at"	0.0363811610802101	0.102784153780898	1.07384379839596	0.00643738863958066	0.0312097577505064	0.0954165994447302	1.06837387220224	0.00361224678236324
"200060_s_at"	0.0510369274223014	0.0607497581667322	1.04300766354818	0.238692065538532	0.0278743854886603	0.0601884179273765	1.04260191717307	0.0357516988049318
"200064_at"	0.106974715960825	-0.249056213959801	-1.1884294107693	0.0233502625881053	0.0398764035827652	-0.10113633004519	-1.07261797098039	0.0144423232635103
"200067_x_at"	0.0754665565264369	-0.0613962942347203	-1.04347518660644	0.419170370304136	0.0379757923969365	-0.10010682861358	-1.07185282810492	0.011201683701155
"200077_s_at"	0.0669512565078531	-0.137301645480314	-1.09984608628018	0.0447392034513043	0.0186553613164751	-0.0392687180203942	-1.02759282216349	0.0404460498713904
"200079_s_at"	0.0747955591631118	-0.0385438560216487	-1.02707665216623	0.608253016938549	0.0320334146743499	-0.072264251552534	-1.05136546503762	0.0285746601938557
"200088_x_at"	0.0646339231183661	0.217825181972311	1.16297910945418	0.00132959936945135	0.032722380154179	0.0879645596612194	1.06286956425278	0.00978759688623258
"200089_s_at"	0.0454538172592008	0.203346957787488	1.15136635336692	3.56246554506623e-05	0.0339212807647077	0.12234537316301	1.08850299204029	0.000725648381836368
"200091_s_at"	0.0795707025647363	0.0246035219979498	1.01720010918513	0.758256222811989	0.0527293703231853	-0.106724005454398	-1.07678036319172	0.0484407756525252
"200094_s_at"	0.0390389139636934	0.100458383035496	1.07211404790904	0.0126073835432025	0.0227396744346712	0.0618270141608539	1.04378676503482	0.00903367935743414
"200593_s_at"	0.107551346133141	-0.360682493224999	-1.28403318924613	0.00139807285343066	0.0412066364289104	-0.121526928174645	-1.08788565633048	0.00487188007998286
"200594_x_at"	0.107153585316009	-0.352033634909974	-1.27635852543201	0.00171727416301356	0.0383417874661459	-0.125137670160847	-1.09061180007665	0.00200775645879179
"200597_at"	0.0899807577868466	0.108027882254652	1.07775397406126	0.234717518241266	0.0340123630171375	0.077022689655789	1.05483890667489	0.0279994012324464
"200598_s_at"	0.207353041217984	-0.574563643618064	-1.48922696460726	0.00746407836113581	0.069239559251994	-0.183885551001424	-1.1359391471589	0.0106462406748937
"200604_s_at"	0.19461861724325	-0.494234456725803	-1.40857311978195	0.0137562337844542	0.0668918396300521	-0.150303550340331	-1.10980295566423	0.0291802635435231
"200605_s_at"	0.170826517808337	-0.412646256548953	-1.33112518628046	0.0188255198128239	0.0436544410402989	-0.131740645274725	-1.09561478898031	0.0040319459359717
"200607_s_at"	0.137303322082873	-0.447897003567073	-1.36405044954027	0.00184069615074658	0.0546986287128106	-0.161421941454723	-1.1183888955761	0.00484647042353387
"200613_at"	0.167622241391023	-0.321605103105702	-1.24972018027081	0.0598733727172503	0.0293168815698001	-0.0660444390562341	-1.04684252716579	0.0287850275902277
"200622_x_at"	0.13807672080935	-0.399386167925852	-1.3189466112808	0.00534530346392121	0.0553752418875366	-0.141532465106476	-1.10307620766152	0.0137444156887868
"200627_at"	0.110447206145695	-0.191914045711196	-1.14227818905984	0.087497375974796	0.0492858500898995	-0.116800462907604	-1.08432742669233	0.021776675503355
"200628_s_at"	0.124260276337049	-0.327118225128373	-1.25450500375028	0.0108014190361517	0.0626516184794296	-0.166295567353255	-1.12217335852042	0.0106875185802409
"200631_s_at"	0.0970779959544865	-0.120175344455571	-1.08686695178106	0.220647193687799	0.0435097086529591	-0.114553083771765	-1.08263961485601	0.0112958250314651
"200633_at"	0.0364397705647708	-0.0372078847874527	-1.02612599405777	0.31138569174633	0.0151491779380879	-0.0336170631138476	-1.02357517514783	0.0311441120977193
"200641_s_at"	0.285619110639365	-0.739392087200127	-1.66947222003416	0.0121117539627401	0.0642011694749246	-0.205545262235219	-1.15312208346118	0.0024011259836677
"200650_s_at"	0.152227972582715	-0.286663990721074	-1.21981637721324	0.064616116788615	0.0536558750500193	-0.136815577036139	-1.09947559188396	0.0139546550536657
