genes	se_fe_4dp	estimate_fe_4dp	foldc_fe_2dp	upperl_fe_2dp	lowerl_fe_2dp	pval_fe_3sig
A1CF	0.0178	-0.0042	-1.00	1.02	-1.03	0.812
A2M	0.0520	-0.1850	-1.14	-1.06	-1.22	0.000432
A4GALT	0.0208	-0.0283	-1.02	1.01	-1.05	0.175
AAAS	0.0117	0.0032	1.00	1.02	-1.01	0.782
AACS	0.0236	0.0390	1.03	1.06	-1.01	0.0993
AAGAB	0.0159	-0.0107	-1.01	1.01	-1.03	0.502
AAK1	0.0294	0.0549	1.04	1.08	-1.00	0.0629
AAMP	0.0128	-0.0156	-1.01	1.01	-1.03	0.224
AAR2	0.0144	0.0026	1.00	1.02	-1.02	0.856
AARS	0.0222	-0.0028	-1.00	1.03	-1.03	0.9
AASDHPPT	0.0274	0.0116	1.01	1.05	-1.03	0.673
AATF	0.0224	-0.0207	-1.01	1.02	-1.05	0.357
AATK	0.0168	-0.0381	-1.03	-1.00	-1.05	0.0243
ABAT	0.0215	0.0391	1.03	1.06	-1.00	0.0692
ABCA1	0.0232	0.0187	1.01	1.05	-1.02	0.422
ABCA2	0.0442	-0.0672	-1.05	1.01	-1.11	0.13
ABCA3	0.0147	0.0194	1.01	1.03	-1.01	0.189
ABCA4	0.0179	-0.0177	-1.01	1.01	-1.04	0.324
ABCA5	0.0267	-0.0007	-1.00	1.04	-1.04	0.98
ABCA7	0.0204	0.0055	1.00	1.03	-1.02	0.79
ABCA8	0.0686	-0.1987	-1.15	-1.05	-1.26	0.00406
ABCB1	0.0429	-0.0929	-1.07	-1.01	-1.13	0.0313
ABCB6	0.0154	-0.0207	-1.01	1.01	-1.04	0.179
ABCB7	0.0188	0.0271	1.02	1.05	-1.01	0.151
ABCB8	0.0184	0.0069	1.00	1.03	-1.02	0.709
ABCB9	0.0196	0.0109	1.01	1.03	-1.02	0.58
ABCC1	0.0184	0.0198	1.01	1.04	-1.01	0.283
ABCC10	0.0258	-0.0247	-1.02	1.02	-1.05	0.338
